score,SMILES,Name,idx,cycle
0.963,CNC(=O)CNC(=O)CNC(=O)c1c(N)nnn1C,1532605_104643604,25,0
0.935,CNC(=O)CNC(=O)CNC(=O)c1c(N)ncn1C,1532605_77271318,25,0
0.934,CNC(=O)CNC(=O)CNC(=O)c1cn(C)nc1O,1532605_26175068,25,0
0.931,CCCC(=O)NCC(=O)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_5509432,25,0
0.925,CNC(=O)CNC(=O)CNC(=O)c1nsnc1O,1532605_6523896,25,0
0.92,CCCCNC(=O)CNC(=O)Cc1nonc1O,5821287_5282317,25,0
0.919,CNC(=O)CNC(=O)CNC(=O)c1cn(C)nc1N,1532605_35937644,25,0
0.917,CNC(=O)CNC(=O)CNC(=O)c1c(N)cnn1C,1532605_2534273,25,0
0.916,CCCCNC(=O)CNC(=O)Cc1nonc1N,5821287_2258900,25,0
0.909,CNC(=O)CNC(=O)CNC(=O)c1ccnnc1O,1532605_20357821,25,0
0.907,Cn1nnc(N)c1C(=O)NCCC(=O)NCCCO,34249556_104643604,25,0
0.905,CNC(=O)CNC(=O)CNC(=O)c1c(C)n[nH]c1N,1532605_39083103,25,0
0.9,CNC(=O)COCCNC(=O)c1c(N)nnn1C,51864337_104643604,25,0
0.899,CNC(=O)CNC(=O)CNC(=O)c1cnn(C)c1N,1532605_19850925,25,0
0.899,Nc1nonc1C(=O)NC1CCN(CCO)CC1,22178285_967421,25,0
0.898,CNC(=O)CNC(=O)CNC(=O)c1cnn(C)c1O,1532605_71495314,25,0
0.898,O=C(NC1CCN(CCO)CC1)c1nsnc1O,22178285_6523896,25,0
0.897,CNC(=O)CCCC(=O)Nc1cccn2nnnc12,1683864_35721147,25,0
0.895,O=C(CCNC(=O)c1nsnc1O)NCCCO,34249556_6523896,25,0
0.895,Cn1nnc(N)c1C(=O)NC1CN(CC(=O)O)C1,83635892_104643604,25,0
0.892,CCCCNC(=O)CNC(=O)Cn1ncnc1N,5821287_70824964,25,0
0.892,COC(=O)CNC(=O)CNC(=O)Cc1nonc1O,2168344_5282317,25,0
0.892,Cn1nnc(N)c1C(=O)NC1CN(CCO)C1,82601602_104643604,25,0
0.891,Cn1cc(C(=O)NCCC(=O)NCCCO)c(O)n1,34249556_26175068,25,0
0.889,COC(=O)CNC(=O)CNC(=O)Cc1nonc1N,2168344_2258900,25,0
0.888,CNC(=O)COCCNC(=O)c1c(N)cnn1C,51864337_2534273,25,0
0.887,CN(C)CCNC(=O)CNC(=O)Cc1nonc1O,1704465_5282317,25,0
0.886,CNC(=O)COCCNC(=O)c1ccnnc1O,51864337_20357821,25,0
0.886,CNC(=O)COCCNC(=O)c1nsnc1O,51864337_6523896,25,0
0.886,O=C(O)CN1CC(NC(=O)c2nsnc2O)C1,83635892_6523896,25,0
0.886,Cn1cc(C(=O)NC2CN(CCO)C2)c(O)n1,82601602_26175068,25,0
0.885,Cn1nnc(N)c1C(=O)NC1CCN(CCO)CC1,22178285_104643604,25,0
0.885,CNC(=O)CNC(=O)CNC(=O)c1[nH]nc(C)c1N,1532605_5544115,25,0
0.885,CN(C)CCNC(=O)CNC(=O)Cc1nonc1N,1704465_2258900,25,0
0.883,CNC(=O)CNC(=O)CNC(=O)c1[nH]ncc1N,1532605_26895189,25,0
0.883,O=C(CNC(=O)c1nsnc1O)NCCCO,36984433_6523896,25,0
0.881,Nc1n[nH]nc1C(=O)NC1CCN(CCO)CC1,22178285_4621099,25,0
0.881,COC(=O)CNC(=O)CNC(=O)c1c(N)ncn1C,2168344_77271318,25,0
0.881,CNC(=O)CNC(=O)CNC(=O)c1nonc1N,1532605_967421,25,0
0.88,O=C(O)C/N=C(\O)CNC(=O)c1nsnc1O,5112515_6523896,25,0
0.88,Cn1cnc(N)c1C(=O)NCCC(=O)NCCCO,34249556_77271318,25,0
0.879,COCC(=O)NCC(=O)N[C@H]1C[C@H](n2ccnn2)C1,1857779624_20205651,25,0
