score,SMILES,Name,idx,cycle
1.361,CO[C@@H]1COC[C@@H]1NC(=O)c1c[nH]c(O)n1,62712727_6667673,71,0
1.347,O=C(N[C@H]1COC[C@H]1O)c1c[nH]c(O)n1,37872021_6667673,71,0
1.324,O=C(NC[C@@H]1CCO1)c1c[nH]c(O)n1,59709815_6667673,71,0
1.317,CC(=O)CNC(=O)c1c[nH]c(O)n1,4658570_6667673,71,0
1.315,O=C(N[C@H]1C=NNC1=O)c1c[nH]c(O)n1,103010903_6667673,71,0
1.308,O=C(NC1COC1)c1c[nH]c(O)n1,16083064_6667673,71,0
1.303,CO[C@H](C)CNC(=O)c1c[nH]c(O)n1,12137833_6667673,71,0
1.3,O=C(N[C@@]1(CO)CCOC1)c1c[nH]c(O)n1,70993415_6667673,71,0
1.3,C[C@H](CO)NC(=O)c1c[nH]c(O)n1,2004611_6667673,71,0
1.295,COC(=O)C1(NC(=O)c2c[nH]c(O)n2)COC1,87548165_6667673,71,0
1.295,CNC(=O)[C@@H](C)NC(=O)c1c[nH]c(O)n1,19422287_6667673,71,0
1.294,O=C(CF)NC(=O)c1c[nH]c(O)n1,5177774_6667673,71,0
1.292,O=C(N[C@H]1COC[C@@H]1O)c1c[nH]c(O)n1,12957834_6667673,71,0
1.291,O=C(NC1(CO)COC1)c1c[nH]c(O)n1,83267223_6667673,71,0
1.29,CO[C@@H]1COC[C@@H]1NC(=O)c1n[nH]c(O)n1,62712727_4343380,71,0
1.289,COC[C@@H](CO)NC(=O)c1c[nH]c(O)n1,26896689_6667673,71,0
1.288,CO[C@@H]1COC[C@@H]1NC(=O)c1nc(N)c[nH]1,62712727_38804037,71,0
1.286,O=C1NC[C@@H](CNC(=O)c2c[nH]c(O)n2)O1,38995456_6667673,71,0
1.283,O=C(NC[C@H]1CCOC1)c1c[nH]c(O)n1,12953733_6667673,71,0
1.283,C[C@H](O)[C@H](C)NC(=O)c1c[nH]c(O)n1,1759053_6667673,71,0
1.282,CO[C@@H]1COC[C@@H]1NC(=O)c1n[nH]c(N)n1,62712727_1239568,71,0
