score,SMILES,Name,idx,cycle
1.075,O=c1c2csnc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,22861807_12957829_5178980,96,0
1.072,O=c1c2csnc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,22861807_74938389_5178980,96,0
1.063,O=c1c2nonc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,967421_74938389_5178980,96,0
1.062,O=c1c2nsnc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,17327931_12957829_5178980,96,0
1.061,O=c1c2nsnc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,17327931_74938389_5178980,96,0
1.057,O=c1c2nonc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,967421_12957829_5178980,96,0
1.056,Nc1nncn1Cc1nc2[nH][nH]c(=O)c2c(=O)n1C(=O)CO,19737344_4692578_227173267,96,0
1.056,O=C(CO)n1c(Cn2cnnn2)nc2[nH][nH]c(=O)c2c1=O,19737344_4692578_967442,96,0
1.053,N=C(CO)n1c(Cn2cnnn2)nc2[nH][nH]c(=O)c2c1=O,19737344_4682886_967442,96,0
1.052,N=C(CO)n1c(Cn2cnnc2N)nc2[nH][nH]c(=O)c2c1=O,19737344_4682886_227173267,96,0
1.051,O=c1c2n[nH]nc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,4621099_74938389_5178980,96,0
1.049,O=c1c2n[nH]nc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,4621099_12957829_5178980,96,0
1.044,O=c1c2[nH]cnc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,2580801_12957829_5178980,96,0
1.043,O=c1c2[nH]cnc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,2580801_74938389_5178980,96,0
1.042,Cn1cc2c(=O)n(CC3(O)COC3)c(Cc3nnn[nH]3)nc2n1,35937644_74938389_5178980,96,0
1.04,Cn1nnc(-n2c(Cc3nnn[nH]3)nc3nscc3c2=O)n1,22861807_16954943_5178980,96,0
1.04,Cn1cc2c(=O)n([C@@H]3COC[C@H]3O)c(Cc3nnn[nH]3)nc2n1,35937644_12957829_5178980,96,0
1.038,N=C(CO)n1c(Cc2nnn[nH]2)nc2[nH][nH]c(=O)c2c1=O,19737344_4682886_5178980,96,0
1.038,N=C(CO)n1c(CNC(N)=O)nc2cnccc2c1=O,165882_4682886_1464311,96,0
1.037,O=C(CO)n1c(Cn2ncnn2)nc2[nH][nH]c(=O)c2c1=O,19737344_4692578_31319659,96,0
1.036,O=c1c2cn[nH]c2nc(Cc2nnn[nH]2)n1CC1(O)COC1,5116952_74938389_5178980,96,0
1.036,O=c1c2[nH]ncc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,26895189_74938389_5178980,96,0
1.035,O=c1c2cccnc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,331646_12957829_5178980,96,0
1.034,O=c1c2csnc2nc(Cc2nnn[nH]2)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,22861807_146501451_5178980,96,0
1.033,O=C(CO)n1c([C@H]2C[C@H](O)CN2)nc2c(sc3ncncc32)c1=O,35269739_4692578_895457,96,0
1.033,O=c1c2csnc2nc(Cc2nnn[nH]2)n1[C@H]1COC[C@@H]1O,22861807_12957834_5178980,96,0
1.032,Cn1cnc2nc(Cc3nnn[nH]3)n(CC3(O)COC3)c(=O)c21,77271318_74938389_5178980,96,0
1.032,O=C(O)CNC(=O)CCn1c(Cn2cnnn2)nc2nscc2c1=O,22861807_1575546_967442,96,0
1.032,Cn1nnc2nc(Cc3nnn[nH]3)n(CC3(O)COC3)c(=O)c21,104643604_74938389_5178980,96,0
1.03,CN1C[C@@H](O)[C@H](n2c(Cc3nnn[nH]3)nc3nscc3c2=O)C1,22861807_34278490_5178980,96,0
1.03,N=C(CO)n1c(Cn2ncnn2)nc2[nH][nH]c(=O)c2c1=O,19737344_4682886_31319659,96,0
1.029,O=C(CO)n1c([C@H]2C[C@H](O)CN2)nc2c(sc3nccnc32)c1=O,12367501_4692578_895457,96,0
1.028,O=c1c2cccnc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,331646_74938389_5178980,96,0
1.028,O=C(CO)n1c(Cc2nnn[nH]2)nc2[nH][nH]c(=O)c2c1=O,19737344_4692578_5178980,96,0
1.027,Cn1nnc(-n2c(Cc3nnn[nH]3)nc3nonc3c2=O)n1,967421_16954943_5178980,96,0
1.027,N#CNC(=N)n1c(Cn2cnnn2)nc2[nH][nH]c(=O)c2c1=O,19737344_5112486_967442,96,0
1.027,NC(=O)NCc1nc2cnccc2c(=O)n1C(=O)CO,165882_4692578_1464311,96,0
1.027,Cn1cnc2nc(Cc3nnn[nH]3)n([C@@H]3COC[C@H]3O)c(=O)c21,77271318_12957829_5178980,96,0
1.027,N=C(CO)n1c(CNC=O)nc2cnccc2c1=O,165882_4682886_1733657,96,0
1.027,Cn1nnc(-n2c(Cc3nnn[nH]3)nc3nsnc3c2=O)n1,17327931_16954943_5178980,96,0
1.026,O=c1c2ccccc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,47985_74938389_5178980,96,0
1.026,Cn1nnc2nc(Cc3nnn[nH]3)n([C@@H]3COC[C@H]3O)c(=O)c21,104643604_12957829_5178980,96,0
1.026,O=c1c2cn[nH]c2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,5116952_12957829_5178980,96,0
1.026,Cc1cc2nc(Cn3ncnn3)n(C(=O)CO)c(=O)c2cn1,34337536_4692578_31319659,96,0
1.026,Cn1nnc(-n2c(Cn3cnnc3N)nc3[nH][nH]c(=O)c3c2=O)n1,19737344_16954943_227173267,96,0
1.026,Cc1cc2nc(Cn3cnnn3)n(C(=O)CO)c(=O)c2cn1,34337536_4692578_967442,96,0
1.025,O=C(CO)n1c(Cn2ncnn2)nc2cc(F)ncc2c1=O,95707580_4692578_31319659,96,0
1.025,N=C(CO)n1c([C@H]2C[C@H](O)CN2)nc2c(sc3ncncc32)c1=O,35269739_4682886_895457,96,0
1.025,Cn1ncc2nc(Cc3nnn[nH]3)n(CC3(O)COC3)c(=O)c21,2534273_74938389_5178980,96,0
1.024,O=c1c2[nH]ncc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,26895189_12957829_5178980,96,0
1.024,N=C(CO)n1c(Cn2ncnn2)nc2c(sc3ncncc32)c1=O,35269739_4682886_31319659,96,0
1.024,Cn1cc2nc(Cc3nnn[nH]3)n(CC3(O)COC3)c(=O)c2n1,2534276_74938389_5178980,96,0
1.024,O=C(CO)n1c(Cn2cnnn2)nc2cc(F)ncc2c1=O,95707580_4692578_967442,96,0
1.023,Cn1ncc2c(=O)n(CC3(O)COC3)c(Cc3nnn[nH]3)nc21,19850925_74938389_5178980,96,0
1.023,O=c1c2nccnc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,967253_12957829_5178980,96,0
1.022,Cc1nsc2nc(Cc3nnn[nH]3)n(CC3(O)COC3)c(=O)c12,3349006_74938389_5178980,96,0
1.022,O=c1c2nonc2nc(Cc2nnn[nH]2)n1[C@@H]1C[C@@H](O)[C@@H](O)C1,967421_146501451_5178980,96,0
1.021,N=C(CO)n1c([C@H]2C[C@H](O)CN2)nc2c(sc3nccnc32)c1=O,12367501_4682886_895457,96,0
1.021,NC(=O)NCc1nc2cnncc2c(=O)n1C(=O)CO,39083039_4692578_1464311,96,0
1.021,NCC(=O)NCCc1nc2nsnc2c(=O)n1[C@@H]1COC[C@H]1O,17327931_12957829_1637970,96,0
1.021,COc1cc2nc([C@H]3C[C@H](O)CN3)n(C(=O)CO)c(=O)c2cn1,95635282_4692578_895457,96,0
1.021,N=C(CO)n1c(Cn2ncnn2)nc2c(sc3nccnc32)c1=O,12367501_4682886_31319659,96,0
1.02,CN1CCNC[C@@H]1c1nc2c(sc3ncncc32)c(=O)n1C(=O)CO,35269739_4692578_89223304,96,0
1.02,Cc1cc2nc([C@H]3C[C@H](O)CN3)n(C(=O)CO)c(=O)c2cn1,34337536_4692578_895457,96,0
1.02,O=c1c2nsnc2nc(Cc2nnn[nH]2)n1[C@H]1COC[C@@H]1O,17327931_12957834_5178980,96,0
1.02,Cc1cc2nc(Cn3ncnn3)n(C(=N)CO)c(=O)c2cn1,34337536_4682886_31319659,96,0
1.02,CN1C[C@@H](O)[C@H](n2c(Cc3nnn[nH]3)nc3nsnc3c2=O)C1,17327931_34278490_5178980,96,0
1.02,O=C(O)CNC(=O)CCn1c(Cn2cnnn2)nc2ccccc2c1=O,47985_1575546_967442,96,0
1.019,O=C1CN[C@@H](c2nc3[nH]c(=S)ncc3c(=O)n2C(=O)CO)CN1,6223297_4692578_76576471,96,0
1.019,COc1cc2nc(Cn3cnnn3)n(C(=O)CO)c(=O)c2cn1,95635282_4692578_967442,96,0
1.019,N=C(CO)n1c([C@H](N)c2nnn[nH]2)nc2[nH][nH]c(=O)c2c1=O,19737344_4682886_3995585,96,0
1.019,Nc1nncn1Cc1nc2nscc2c(=O)n1CCC(=O)NCC(=O)O,22861807_1575546_227173267,96,0
1.019,N[C@H](c1nnn[nH]1)c1nc2[nH][nH]c(=O)c2c(=O)n1C(=O)CO,19737344_4692578_3995585,96,0
1.018,O=c1c2nccnc2nc(Cc2nnn[nH]2)n1CC1(O)COC1,967253_74938389_5178980,96,0
1.018,O=C(CO)n1c([C@H]2C[C@H](O)CN2)nc2cc(F)ncc2c1=O,95707580_4692578_895457,96,0
1.018,Cc1cc2nc(Cn3cnnc3N)n(C(=O)CO)c(=O)c2cn1,34337536_4692578_227173267,96,0
1.018,O=c1c2nonc2nc(Cc2nnn[nH]2)n1[C@H]1COC[C@@H]1O,967421_12957834_5178980,96,0
1.018,NCC(=O)NCCc1nc2nscc2c(=O)n1CC1(O)COC1,22861807_74938389_1637970,96,0
1.017,Nc1nncn1Cc1nc2cc(F)ncc2c(=O)n1C(=O)CO,95707580_4692578_227173267,96,0
1.017,CN1CCNC[C@@H]1c1nc2c(sc3nccnc32)c(=O)n1C(=O)CO,12367501_4692578_89223304,96,0
1.017,O=C(O)CNC(=O)CCn1c(Cn2cnnn2)nc2nsnc2c1=O,17327931_1575546_967442,96,0
1.017,CN1C[C@@H](O)[C@H](n2c(Cc3nnn[nH]3)nc3nonc3c2=O)C1,967421_34278490_5178980,96,0
1.017,O=c1c2ncnnc2nc(Cc2nnn[nH]2)n1[C@@H]1COC[C@H]1O,39083028_12957829_5178980,96,0
1.017,O=C(O)CNC(=O)CCn1c(Cn2cnnn2)nc2nonc2c1=O,967421_1575546_967442,96,0
1.016,O=c1c2[nH]ncc2nc(C(O)O)n1CC1(O)COC1,26895189_74938389_6660936,96,0
1.016,O=C(O)CNC(=O)CCn1c(Cn2ncnn2)nc2nonc2c1=O,967421_1575546_31319659,96,0
